subject	group	session	preprocess_mode	raw_events_256	raw_events_511	raw_events_total	clean_epochs	rejection_rate	primary_erd_C3	primary_erd_C4	n_bad_channels	n_ica_rejected
101	c4_smr	1	minimal	610	0	610	594	0.026	-0.9636	-1.1142		
101	c4_smr	3	minimal	615	0	615	611	0.007	-0.5131	-0.9863		
101	c4_smr	5	minimal	628	0	628	626	0.003	-0.8392	-0.8418		
101	c4_smr	6	minimal	0	387	387	384	0.008	-0.7996	-1.4120		
102	sham	1	minimal	680	0	680	639	0.060	-0.6098	-0.3327		
102	sham	3	minimal	704	0	704	667	0.053	-0.4770	-0.6774		
102	sham	5	minimal	671	0	671	655	0.024	-0.5613	-0.6334		
102	sham	6	minimal	630	0	630	614	0.025	-0.0464	-0.1380		
103	c3_smr	1	minimal	624	0	624	598	0.042	-0.9467	-0.7651		
103	c3_smr	3	minimal	625	0	625	623	0.003	-0.9208	-0.5130		
103	c3_smr	5	minimal	637	0	637	629	0.013	-1.1607	-0.7070		
103	c3_smr	6	minimal	368	0	368	344	0.065	-0.4902	-0.1135		
104	sham	1	minimal	572	0	573	552	0.037	-0.4774	-0.7507		
104	sham	3	minimal	299	305	604	599	0.008	-0.8771	-0.9081		
104	sham	5	minimal	632	0	632	625	0.011	-0.7191	-0.8723		
104	sham	6	minimal	585	0	585	532	0.091	-0.6284	-0.8232		
105	c3_beta	1	minimal	649	0	649	634	0.023	-1.4448	-0.8507		
105	c3_beta	3	minimal	654	0	654	631	0.035	-1.2310	-1.3043		
105	c3_beta	5	minimal	257	0	258	254	0.016	-1.6082	-1.2498		
105	c3_beta	6	minimal	717	0	717	700	0.024	-1.3642	-0.9656		
106	c3_smr	1	minimal	509	0	509	506	0.006	-0.8227	-0.9337		
106	c3_smr	3	minimal	578	0	578	566	0.021	-0.6860	-0.5516		
106	c3_smr	5	minimal	584	0	584	558	0.045	-0.8448	-0.8517		
106	c3_smr	6	minimal	633	0	633	575	0.092	-0.8299	-0.5438		
107	sham	1	minimal	640	0	640	600	0.062	-0.8743	-0.8623		
107	sham	3	minimal	638	0	638	621	0.027	-0.4770	-0.5833		
107	sham	5	minimal	594	0	594	583	0.019	-0.6916	-1.1885		
107	sham	6	minimal	0	616	616	613	0.005	-0.4100	-0.7416		
108	c3_beta	1	minimal	647	0	647	642	0.008	-1.2985	-1.1962		
108	c3_beta	3	minimal									
108	c3_beta	5	minimal	434	0	434	430	0.009	-0.7578	-0.5574		
108	c3_beta	6	minimal	669	0	669	624	0.067	-0.7761	-0.4989		
109	c3_smr	1	minimal	698	0	698	669	0.042	-0.4058	-0.3652		
109	c3_smr	3	minimal	4	604	608	581	0.044	-0.9548	-0.9710		
109	c3_smr	5	minimal	605	0	605	589	0.026	-1.0227	-0.4911		
109	c3_smr	6	minimal	601	0	601	583	0.030	-1.0941	-0.5613		
110	sham	1	minimal	594	0	594	569	0.042	-1.0209	-0.3958		
110	sham	3	minimal	628	0	628	620	0.013	-0.6130	-0.8246		
110	sham	5	minimal									
110	sham	6	minimal	0	660	660	567	0.141	-1.0360	-1.5591		
111	c3_beta	1	minimal	726	0	726	690	0.050	-1.2010	-1.5734		
111	c3_beta	3	minimal	702	0	702	686	0.023	-1.2836	-1.3147		
111	c3_beta	5	minimal	722	0	722	711	0.015	-1.1979	-1.0543		
111	c3_beta	6	minimal	730	0	730	727	0.004	-1.3543	-1.3831		
112	c3_smr	1	minimal	528	0	528	508	0.038	-0.7836	-0.6027		
112	c3_smr	3	minimal	585	0	585	576	0.015	-0.8614	-0.8215		
112	c3_smr	5	minimal	554	0	554	530	0.043	-0.6288	-0.4706		
112	c3_smr	6	minimal	0	648	648	610	0.059	-1.3857	-0.9864		
113	c4_smr	1	minimal	505	0	505	498	0.014	-0.3145	-0.7585		
113	c4_smr	3	minimal	543	0	543	542	0.002	-0.4610	-0.9562		
113	c4_smr	5	minimal	578	0	578	539	0.067	-0.6434	-0.6526		
113	c4_smr	6	minimal	0	602	602	598	0.007	-0.4755	-0.6240		
114	c3_beta	1	minimal	640	0	640	625	0.023	-1.4259	-0.9155		
114	c3_beta	3	minimal	665	0	665	659	0.009	-0.6832	-1.1582		
114	c3_beta	5	minimal	747	0	747	681	0.088	-1.4401	-1.5214		
114	c3_beta	6	minimal	0	742	742	738	0.005	-1.2441	-1.2117		
115	sham	1	minimal	554	0	554	514	0.072	-0.0028	-0.3290		
