Sensitivity Analysis: Minimal vs ICA Preprocessing
============================================================

Trial counts (minimal): median=583, mean=516
Trial counts (ICA):     median=572, mean=521
Minimal retains -0.8% more trials on average

Per-session comparison:
 subject  session  trials_minimal  trials_ica
     101        1           594.0       246.0
     101        3           611.0       604.0
     101        5           626.0         0.0
     101        6           384.0       379.0
     102        1           639.0       498.0
     102        3           667.0       578.0
     102        5           655.0       604.0
     102        6           614.0       615.0
     103        1           598.0       383.0
     103        3           623.0       572.0
     103        5           629.0       549.0
     103        6           344.0        42.0
     104        1           552.0       447.0
     104        3           599.0       446.0
     104        5           625.0       614.0
     104        6           532.0       514.0
     105        1           634.0       627.0
     105        3           631.0       246.0
     105        5           254.0       188.0
     105        6           700.0       605.0
     106        1           506.0       465.0
     106        3           566.0       562.0
     106        5           558.0       115.0
     106        6           575.0       625.0
     107        1           600.0       615.0
     107        3           621.0       626.0
     107        5           583.0       578.0
     107        6           613.0       611.0
     108        1           642.0       634.0
     108        3             NaN         NaN
     108        5           430.0       410.0
     108        6           624.0       596.0
     109        1           669.0        62.0
     109        3           581.0       465.0
     109        5           589.0       534.0
     109        6           583.0       539.0
     110        1           569.0       502.0
     110        3           620.0       594.0
     110        5             NaN         NaN
     110        6           567.0       352.0
     111        1           690.0       665.0
     111        3           686.0       695.0
     111        5           711.0       701.0
     111        6           727.0       701.0
     112        1           508.0       358.0
     112        3           576.0       543.0
     112        5           530.0       445.0
     112        6           610.0       538.0
     113        1           498.0       480.0
     113        3           542.0       541.0
     113        5           539.0       521.0
     113        6           598.0       598.0
     114        1           625.0       467.0
     114        3           659.0       539.0
     114        5           681.0       638.0
     114        6           738.0       647.0
     115        1           514.0       502.0
     115        3           571.0       554.0
     115        5           567.0       581.0
     115        6           654.0       638.0
     116        1           648.0       650.0
     116        3           573.0       576.0
     116        5           699.0       675.0
     116        6           589.0       528.0
     117        1           533.0       509.0
     117        3           604.0       586.0
     117        5           613.0       555.0
     117        6           623.0       579.0
     118        1           645.0       636.0
     118        3           675.0       677.0
     118        5           716.0       710.0
     118        6           613.0       440.0
     119        1           615.0       603.0
     119        3           593.0       607.0
     119        5           594.0       585.0
     119        6           672.0       673.0
     120        1           381.0       373.0
     120        3           698.0       488.0
     120        5           379.0       350.0
     120        6           634.0       553.0
     121        1           649.0         0.0
     121        3           611.0       622.0
     121        5           542.0       546.0
     121        6           611.0       615.0
     122        1           628.0       614.0
     122        3           650.0       657.0
     122        5           686.0       689.0
     122        6           661.0       657.0
     123        1           536.0       355.0
     123        3           621.0       610.0
     123        5           613.0       599.0
     123        6           703.0       624.0
     124        1           630.0       624.0
     124        3           688.0       680.0
     124        5           647.0       653.0
     124        6           694.0       675.0
     125        1           584.0       568.0
     125        3           646.0       641.0
     125        5           165.0       164.0
     125        6           635.0       612.0
     126        1           269.0       630.0
     126        3            24.0       122.0
     126        5           495.0       609.0
     126        6             0.0         0.0
     127        1           462.0       502.0
     127        3           431.0       578.0
     127        5           530.0       583.0
     127        6           535.0       555.0
     128        1           498.0       496.0
     128        3           520.0       531.0
     128        5           331.0       352.0
     128        6           577.0       592.0
     129        1           426.0       644.0
     129        3           234.0       268.0
     129        5            84.0       631.0
     129        6           115.0       572.0
     130        1           572.0       595.0
     130        3           394.0       414.0
     130        5           640.0       647.0
     130        6           644.0       652.0
     131        1           412.0       538.0
     131        3             NaN         NaN
     131        5            28.0        76.0
     131        6           490.0       646.0
     132        1           517.0       573.0
     132        3           573.0       592.0
     132        5           552.0       554.0
     132        6           647.0       649.0
     133        1           281.0       586.0
     133        3           370.0       534.0
     133        5           181.0       543.0
     133        6           271.0       575.0
     134        1            43.0       585.0
     134        3           155.0       142.0
     134        5           157.0       584.0
     134        6           100.0        99.0
     135        1           227.0       555.0
     135        3           372.0       362.0
     135        5           394.0       553.0
     135        6           384.0       456.0
     136        1           531.0       454.0
     136        3           613.0       588.0
     136        5           634.0       588.0
     136        6           636.0       614.0
     137        1           551.0       549.0
     137        3           563.0       564.0
     137        5           622.0       639.0
     137        6           643.0       747.0
     138        1           576.0       559.0
     138        3           658.0       648.0
     138        5           598.0       381.0
     138        6           618.0       620.0
     139        1           141.0       525.0
     139        3           181.0       568.0
     139        5           158.0       626.0
     139        6            70.0       219.0
     140        1           203.0       532.0
     140        3           283.0       592.0
     140        5           173.0       526.0
     140        6           158.0       477.0
